name,year,committee,region,cleanedName,cleanedRegion,Continent
Mark Handley,2016,Program,"University College London, UK",Mark Handley,"University College London, UK",EU
Srikanth Kandula,2016,Program,"Microsoft, USA",Srikanth Kandula,"Microsoft, USA",NorAm
Brad Karp,2016,Program,"University College London, UK",Brad Karp,"University College London, UK",EU
Ethan Katz-Bassett,2016,Program,"University of Southern California, USA",Ethan Katz-Bassett,"University of Southern California, USA",NorAm
Teemu Koponen,2016,Program,"VMWare, USA",Teemu Koponen,"VMWare, USA",NorAm
Swarun Kumar,2016,Program,"Carnegie Mellon University, USA",Swarun Kumar,"Carnegie Mellon University, USA",NorAm
Alex Liu,2016,Program,"Michigan State University, USA",Alex Liu,"Michigan State University, USA",NorAm
Harsha Madhyastha,2016,Program,"University of Michigan, USA",Harsha Madhyastha,"University of Michigan, USA",NorAm
Bruce Maggs,2016,Program,"Duke University, USA",Bruce Maggs,"Duke University, USA",NorAm
Ratul Mahajan,2016,Program,"Microsoft, USA",Ratul Mahajan,"Microsoft, USA",NorAm
Vishal Misra,2016,Program,"Columbia University, USA",Vishal Misra,"Columbia University, USA",NorAm
Michael Mitzenmacher,2016,Program,"Harvard University, USA",Michael Mitzenmacher,"Harvard University, USA",NorAm
Jeff Mogul,2016,Program,"Google, USA",Jeff Mogul,"Google, USA",NorAm
Andrew Moore,2016,Program,"University of Cambridge, UK",Andrew Moore,"University of Cambridge, UK",EU
Radhika Niranjan Mysore,2016,Program,"Google, USA",Radhika Niranjan Mysore,"Google, USA",NorAm
Dave Oran,2016,Program,"Cisco, USA",Dave Oran,"Cisco, USA",NorAm
Venkat Padmanabhan,2016,Program,"Microsoft, India",Venkat Padmanabhan,"Microsoft, India",AS
George Papen,2016,Program,"UC San Diego, USA",George Papen,"UC San Diego, USA",NorAm
KyoungSoo Park,2016,Program,"KAIST, Korea",KyoungSoo Park,"KAIST, Korea",AS
Adrian Perrig,2016,Program,"ETH Zurich, Switzerland",Adrian Perrig,"ETH Zurich, Switzerland",EU
Sylvia Ratnasamy,2016,Program,"UC Berkeley, USA",Sylvia Ratnasamy,"UC Berkeley, USA",NorAm
Vyas Sekar,2016,Program,"Carnegie Mellon University, USA",Vyas Sekar,"Carnegie Mellon University, USA",NorAm
Scott Shenker,2016,Program,"UC Berkeley, USA",Scott Shenker,"UC Berkeley, USA",NorAm
Ankit Singla,2016,Program,"ETH Zurich, Switzerland",Ankit Singla,"ETH Zurich, Switzerland",EU
Joshua Smith,2016,Program,"University of Washington, USA",Joshua Smith,"University of Washington, USA",NorAm
Alex Snoeren,2016,Program,"UC San Diego, USA",Alex Snoeren,"UC San Diego, USA",NorAm
Ion Stoica,2016,Program,"UC Berkeley, USA",Ion Stoica,"UC Berkeley, USA",NorAm
Pramod Vishwanath,2016,Program,"University of Illinois Urbana-Champaign , USA",Pramod Vishwanath,"University of Illinois Urbana-Champaign , USA",NorAm
Geoff Voelker,2016,Program,"UC San Diego, USA",Geoff Voelker,"UC San Diego, USA",NorAm
Philip Watts,2016,Program,"University College London, UK",Philip Watts,"University College London, UK",EU
David Wetherall,2016,Program,"Google & University of Washington, USA",David Wetherall,"Google & University of Washington, USA",NorAm
Keith Winstein,2016,Program,"Stanford University, USA",Keith Winstein,"Stanford University, USA",NorAm
Minlan Yu,2016,Program,"University of Southern California, USA",Minlan Yu,"University of Southern California, USA",NorAm
Matei Zaharia,2016,Program,"MIT, USA",Matei Zaharia,"MIT, USA",NorAm
Ellen Zegura,2016,Program,"Georgia Tech, USA",Ellen Zegura,"Georgia Tech, USA",NorAm
Ming Zhang,2016,Program,"Alibaba Group, USA",Ming Zhang,"Alibaba Group, USA",NorAm
Alex C. Snoeren,2017,Program,UC San Diego,Alex C. Snoeren,UC San Diego,NorAm
Walter Willinger,2017,Program,"NIKSUN, Inc.",Walter Willinger,"NIKSUN, Inc.",
Mohammad Alizadeh,2017,Program,MIT,Mohammad Alizadeh,MIT,NorAm
Sujata Banerjee,2017,Program,VMware,Sujata Banerjee,VMware,
Suman Banerjee,2017,Program,University of Wisconsin - Madison,Suman Banerjee,University of Wisconsin - Madison,NorAm
Theo Benson,2017,Program,Duke University,Theo Benson,Duke University,NorAm
John W. Byers,2017,Program,Boston University,John W. Byers,Boston University,NorAm
Marco Canini,2017,Program,KAUST,Marco Canini,KAUST,
Ranveer Chandra,2017,Program,Microsoft Research,Ranveer Chandra,Microsoft Research,
David Choffnes,2017,Program,Northeastern University,David Choffnes,Northeastern University,NorAm
Mosharaf Chowdhury,2017,Program,University of Michigan,Mosharaf Chowdhury,University of Michigan,NorAm
Mark Crovella,2017,Program,Boston University,Mark Crovella,Boston University,NorAm
RubÃ©n Cuevas,2017,Program,Universidad Carlos III de Madrid,Rubaon Cuevas,Universidad Carlos III de Madrid,
Italo Cunha,2017,Program,UFMG,Italo Cunha,UFMG,
Xenofontas Dimitropoulos,2017,Program,University of Crete & FORTH,Xenofontas Dimitropoulos,University of Crete & FORTH,
Nandita Dukkipati,2017,Program,Google,Nandita Dukkipati,Google,
Nate Foster,2017,Program,Cornell University,Nate Foster,Cornell University,NorAm
Monia Ghobadi,2017,Program,Microsoft Research,Monia Ghobadi,Microsoft Research,
Phillipa Gill,2017,Program,University of Massachusetts - Amherst,Phillipa Gill,University of Massachusetts - Amherst,NorAm
Sharon Goldberg,2017,Program,Boston University,Sharon Goldberg,Boston University,NorAm
Shyam Gollakota,2017,Program,University of Washington,Shyam Gollakota,University of Washington,NorAm
Arjun Guha,2017,Program,University of Massachusetts - Amherst,Arjun Guha,University of Massachusetts - Amherst,NorAm
Andreas Haeberlen,2017,Program,University of Pennsylvania,Andreas Haeberlen,University of Pennsylvania,NorAm
Haitham Hassanieh,2017,Program,UIUC,Haitham Hassanieh,UIUC,NorAm
Changhoon Kim,2017,Program,Barefoot Networks,Changhoon Kim,Barefoot Networks,
Teemu Koponen,2017,Program,Styra,Teemu Koponen,Styra,
Arvind Krishnamurthy,2017,Program,University of Washington,Arvind Krishnamurthy,University of Washington,NorAm
Nikolaos Laoutaris,2017,Program,Telefonica,Nikolaos Laoutaris,Telefonica,
Olaf Maennel,2017,Program,Tallinn University of Technology,Olaf Maennel,Tallinn University of Technology,
Ratul Mahajan,2017,Program,Microsoft Research,Ratul Mahajan,Microsoft Research,
Z. Morley Mao,2017,Program,University of Michigan,Z. Morley Mao,University of Michigan,NorAm
Michael Mitzenmacher,2017,Program,Harvard University,Michael Mitzenmacher,Harvard University,NorAm
Venkat Padmanabhan,2017,Program,Microsoft Research India,Venkat Padmanabhan,Microsoft Research India,AS
Dina Papagiannaki,2017,Program,Google,Dina Papagiannaki,Google,
George Papen,2017,Program,UC San Diego,George Papen,UC San Diego,NorAm
Barath Raghavan,2017,Program,ICSI,Barath Raghavan,ICSI,NorAm
Bhaskaran Raman,2017,Program,IIT Bombay,Bhaskaran Raman,IIT Bombay,
Pablo Rodriguez,2017,Program,Telefonica,Pablo Rodriguez,Telefonica,
Michael Schapira,2017,Program,Hebrew University of Jerusalem,Michael Schapira,Hebrew University of Jerusalem,AS
Vyas Sekar,2017,Program,Carnegie Mellon University,Vyas Sekar,Carnegie Mellon University,NorAm
Justine Sherry,2017,Program,Carnegie Mellon University,Justine Sherry,Carnegie Mellon University,NorAm
Ankit Singla,2017,Program,ETH ZÃ¼rich,Ankit Singla,ETH ZÃ¼rich,
Kun Tan,2017,Program,Huawei,Kun Tan,Huawei,
Renata Teixeira,2017,Program,Inria,Renata Teixeira,Inria,EU
Amin Vahdat,2017,Program,Google,Amin Vahdat,Google,
Laurent Vanbever,2017,Program,ETH ZÃ¼rich,Laurent Vanbever,ETH ZÃ¼rich,
George Varghese,2017,Program,UCLA,George Varghese,UCLA,NorAm
Keith Winstein,2017,Program,Stanford University,Keith Winstein,Stanford University,NorAm
Haifeng Yu,2017,Program,National University of Singapore,Haifeng Yu,National University of Singapore,AS
Minlan Yu,2017,Program,Yale University,Minlan Yu,Yale University,NorAm
James Hongyi Zeng,2017,Program,Facebook,James Hongyi Zeng,Facebook,
Ming Zhang,2017,Program,Alibaba Group,Ming Zhang,Alibaba Group,
David G. Anderson,2017,Program,"Carnegie Mellon University, USA)",David G. Anderson,"Carnegie Mellon University, USA)",NorAm
Pat Bosshard,2017,Program,"Barefoot Networks, USA)",Pat Bosshard,"Barefoot Networks, USA)",NorAm
Petr Kuznetsov,2017,Program,"Telecom ParisTech, France)",Petr Kuznetsov,"Telecom ParisTech, France)",EU
James Larus,2017,Program,"EPFL, Switzerland)",James Larus,"EPFL, Switzerland)",EU
Raluca Ada Popa,2017,Program,"University of California, Berkeley, USA)",Raluca Ada Popa,"University of California, Berkeley, USA)",NorAm
Srinivasan Seshan,2017,Program,"Carnegie Mellon University, USA)",Srinivasan Seshan,"Carnegie Mellon University, USA)",NorAm
Darryl Veitch,2017,Program,"University of Technology Sydney, Australia)",Darryl Veitch,"University of Technology Sydney, Australia)",OC
Mark Handley,2018,Program,"UCL, UK",Mark Handley,"UCL, UK",EU
Dina Katabi,2018,Program,"MIT, USA",Dina Katabi,"MIT, USA",NorAm
Fadel Adib,2018,Program,"MIT, USA",Fadel Adib,"MIT, USA",NorAm
Aditya Akella,2018,Program,"Wisconsin, USA",Aditya Akella,"Wisconsin, USA",NorAm
Mohammad Alizadeh,2018,Program,"MIT, USA",Mohammad Alizadeh,"MIT, USA",NorAm
David Andersen,2018,Program,"CMU, USA",David Andersen,"CMU, USA",NorAm
Hitesh Ballani,2018,Program,"Microsoft, UK",Hitesh Ballani,"Microsoft, UK",EU
Sujata Banerjee,2018,Program,"VMware, USA",Sujata Banerjee,"VMware, USA",NorAm
Theo Benson,2018,Program,"Brown, USA",Theo Benson,"Brown, USA",NorAm
Olivier Bonaventure,2018,Program,"UCL, Belgium",Olivier Bonaventure,"UCL, Belgium",EU
Marco Canini,2018,Program,"KAUST, KSA",Marco Canini,"KAUST, KSA",
Martin Casado,2018,Program,"A16Z, USA",Martin Casado,"A16Z, USA",NorAm
Ranveer Chandra,2018,Program,"Microsoft, USA",Ranveer Chandra,"Microsoft, USA",NorAm
Romit Roy Choudhury,2018,Program,"UIUC, USA",Romit Roy Choudhury,"UIUC, USA",NorAm
Mosharaf Chowdhury,2018,Program,"UMich, USA",Mosharaf Chowdhury,"UMich, USA",NorAm
Nandita Dukkipati,2018,Program,"Google, USA",Nandita Dukkipati,"Google, USA",NorAm
Nate Foster,2018,Program,"Cornell, USA",Nate Foster,"Cornell, USA",NorAm
Deepak Ganesan,2018,Program,"UMass, USA",Deepak Ganesan,"UMass, USA",NorAm
Brighten Godfrey,2018,Program,"UIUC, USA",Brighten Godfrey,"UIUC, USA",NorAm
Marco Gruteser,2018,Program,"Rutgers, USA",Marco Gruteser,"Rutgers, USA",NorAm
Haitham Hassanieh,2018,Program,"UIUC, USA",Haitham Hassanieh,"UIUC, USA",NorAm
Kyle Jamieson,2018,Program,"Princeton, USA",Kyle Jamieson,"Princeton, USA",NorAm
Srikanth Kandula,2018,Program,"Microsoft, USA",Srikanth Kandula,"Microsoft, USA",NorAm
Sachin Katti,2018,Program,"Stanford, USA",Sachin Katti,"Stanford, USA",NorAm
Changhoon Kim,2018,Program,"Barefoot, USA",Changhoon Kim,"Barefoot, USA",NorAm
Eddie Kohler,2018,Program,"Harvard, USA",Eddie Kohler,"Harvard, USA",NorAm
Arvind Krishnamurthy,2018,Program,"UW, USA",Arvind Krishnamurthy,"UW, USA",NorAm
Kate Lin,2018,Program,"NCTU, Taiwan",Kate Lin,"NCTU, Taiwan",AS
Ratul Mahajan,2018,Program,"Intentionet, USA",Ratul Mahajan,"Intentionet, USA",NorAm
James Mickens,2018,Program,"Harvard, USA",James Mickens,"Harvard, USA",NorAm
Dave Oran,2018,Program,"Cisco, USA",Dave Oran,"Cisco, USA",NorAm
Dina Papagiannaki,2018,Program,"Google, USA",Dina Papagiannaki,"Google, USA",NorAm
KyoungSoo Park,2018,Program,"KAIST, South Korea",KyoungSoo Park,"KAIST, South Korea",AS
Adrian Perrig,2018,Program,"ETH, Switzerland",Adrian Perrig,"ETH, Switzerland",EU
Lili Qiu,2018,Program,"UT, USA",Lili Qiu,"UT, USA",NorAm
Costin Raiciu,2018,Program,"UPB, Romania",Costin Raiciu,"UPB, Romania",EU
Michael Schapira,2018,Program,"HUJI, Israel",Michael Schapira,"HUJI, Israel",AS
Aaron Schulman,2018,Program,"UCSD, USA",Aaron Schulman,"UCSD, USA",NorAm
Srinivasan Seshan,2018,Program,"CMU, USA",Srinivasan Seshan,"CMU, USA",NorAm
Justine Sherry,2018,Program,"CMU, USA",Justine Sherry,"CMU, USA",NorAm
Ion Stoica,2018,Program,"Berkeley, USA",Ion Stoica,"Berkeley, USA",NorAm
Renata Teixeira,2018,Program,"Inria, France",Renata Teixeira,"Inria, France",EU
Amin Vahdat,2018,Program,"Google, USA",Amin Vahdat,"Google, USA",NorAm
Laurent Vanbever,2018,Program,"ETH, Switzerland",Laurent Vanbever,"ETH, Switzerland",EU
Stefano Vissicchio,2018,Program,"UCL, UK",Stefano Vissicchio,"UCL, UK",EU
Walter Willinger,2018,Program,"NIKSUN, USA",Walter Willinger,"NIKSUN, USA",NorAm
Keith Winstein,2018,Program,"Stanford, USA",Keith Winstein,"Stanford, USA",NorAm
Hongyi Zeng,2018,Program,"Facebook, USA",Hongyi Zeng,"Facebook, USA",NorAm
Ming Zhang,2018,Program,"Alibaba, China",Ming Zhang,"Alibaba, China",AS
Yibo Zhu,2018,Program,"Microsoft, USA",Yibo Zhu,"Microsoft, USA",NorAm
Katerina Argyraki,2019,Program,EPFL,Katerina Argyraki,EPFL,EU
John Heidemann,2019,Program,USC/ISI,John Heidemann,USC/ISI,NorAm
Omid Abari,2019,Program,Waterloo,Omid Abari,Waterloo,NorAm
Fadel Adib,2019,Program,MIT,Fadel Adib,MIT,NorAm
Aditya Akella,2019,Program,UWM,Aditya Akella,UWM,NorAm
Mark Allman,2019,Program,ICSI,Mark Allman,ICSI,NorAm
Aruna Balasubramanian,2019,Program,Stony Brook,Aruna Balasubramanian,Stony Brook,NorAm
Hitesh Ballani,2019,Program,Microsoft Research,Hitesh Ballani,Microsoft Research,
Paul Barford,2019,Program,UWisc,Paul Barford,UWisc,NorAm
Theophilus Benson,2019,Program,Brown University,Theophilus Benson,Brown University,NorAm
Nathan Bronson,2019,Program,Facebook,Nathan Bronson,Facebook,
Marco Canini,2019,Program,KAUST,Marco Canini,KAUST,
Kai Chen,2019,Program,HKUST,Kai Chen,HKUST,AS
Kenjiro Cho,2019,Program,IIJ,Kenjiro Cho,IIJ,AS
Mosharaf Chowdhury,2019,Program,UMich,Mosharaf Chowdhury,UMich,NorAm
Nandita Dukkipati,2019,Program,Google,Nandita Dukkipati,Google,
Lars Eggert,2019,Program,NetApp,Lars Eggert,NetApp,
Kensuke Fukuda,2019,Program,NII,Kensuke Fukuda,NII,AS
Manya Ghobadi,2019,Program,MIT,Manya Ghobadi,MIT,NorAm
Phillipa Gill,2019,Program,UMass Amherst,Phillipa Gill,UMass Amherst,NorAm
Krishna Gummadi,2019,Program,MPI-SWS,Krishna Gummadi,MPI-SWS,EU
Dongsu Han,2019,Program,KAIST,Dongsu Han,KAIST,AS
Polly Huang,2019,Program,NTU,Polly Huang,NTU,AS
Te-yuan Huang,2019,Program,Netflix,Te-yuan Huang,Netflix,
Kyle Jamieson,2019,Program,Princeton,Kyle Jamieson,Princeton,NorAm
Keon Jang,2019,Program,MPI-SWS/Google,Keon Jang,MPI-SWS/Google,EU
Mobin Javed,2019,Program,LUMS,Mobin Javed,LUMS,AS
Sanjay Jha,2019,Program,U. New South Wales,Sanjay Jha,U. New South Wales,NorAm
Junchen Jiang,2019,Program,U. Chicago,Junchen Jiang,U. Chicago,NorAm
Srikanth Kandula,2019,Program,Microsoft Research,Srikanth Kandula,Microsoft Research,
Thomas Karagiannis,2019,Program,Microsoft Research,Thomas Karagiannis,Microsoft Research,
Brad Karp,2019,Program,University College London,Brad Karp,University College London,EU
Ethan Katz-Bassett,2019,Program,Columbia,Ethan Katz-Bassett,Columbia,NorAm
Ali Khayam,2019,Program,Amazon,Ali Khayam,Amazon,
Dejan Kostic,2019,Program,KTH Royal Institute of Technology,Dejan Kostic,KTH Royal Institute of Technology,
Nikos Laoutaris,2019,Program,IMDEA Networks Institute,Nikos Laoutaris,IMDEA Networks Institute,
Simon Leinen,2019,Program,SWITCH,Simon Leinen,SWITCH,
Dan Li,2019,Program,Tsinghua,Dan Li,Tsinghua,AS
Chieh-Jan Mike Liang,2019,Program,Microsoft Research,Chieh-Jan Mike Liang,Microsoft Research,
Bruce Maggs,2019,Program,Duke/Akamai,Bruce Maggs,Duke/Akamai,NorAm
Radhika Mittal,2019,Program,UIUC/MIT,Radhika Mittal,UIUC/MIT,NorAm
Michael Mitzenmacher,2019,Program,Harvard,Michael Mitzenmacher,Harvard,NorAm
Srinivas Narayana,2019,Program,Rutgers,Srinivas Narayana,Rutgers,NorAm
Aurojit Panda,2019,Program,NYU,Aurojit Panda,NYU,NorAm
Zafar Ayyub Qazi,2019,Program,LUMS,Zafar Ayyub Qazi,LUMS,AS
Reza Rejaie,2019,Program,U. Oregon,Reza Rejaie,U. Oregon,NorAm
Philipp Richter,2019,Program,MIT,Philipp Richter,MIT,NorAm
Michael Schapira,2019,Program,Hebrew University of Jerusalem,Michael Schapira,Hebrew University of Jerusalem,AS
Ricardo Schmidt,2019,Program,U. Passo Fundo,Ricardo Schmidt,U. Passo Fundo,
Srini Seshan,2019,Program,CMU,Srini Seshan,CMU,NorAm
Justine Sherry,2019,Program,CMU,Justine Sherry,CMU,NorAm
Ankit Singla,2019,Program,ETHZ,Ankit Singla,ETHZ,EU
Anirudh Sivaraman,2019,Program,NYU,Anirudh Sivaraman,NYU,NorAm
Alex C. Snoeren,2019,Program,UC San Diego,Alex C. Snoeren,UC San Diego,NorAm
Robert SoulÃ©,2019,Program,UniversitÃ  della Svizzera italiana,Robert Soulac,UniversitÃ  della Svizzera italiana,EU
Patrick Thiran,2019,Program,EPFL,Patrick Thiran,EPFL,EU
Laurent Vanbever,2019,Program,ETHZ,Laurent Vanbever,ETHZ,EU
Walter Willinger,2019,Program,"NIKSUN, Inc.",Walter Willinger,"NIKSUN, Inc.",
Keith Winstein,2019,Program,Stanford,Keith Winstein,Stanford,NorAm
Minlan Yu,2019,Program,Harvard,Minlan Yu,Harvard,NorAm
Ben Zhao,2019,Program,U. Chicago,Ben Zhao,U. Chicago,NorAm
Sujata Banerjee,2020,Program,VMware Research,Sujata Banerjee,VMware Research,
Ratul Mahajan,2020,Program,"University of Washington, Intentionet",Ratul Mahajan,"University of Washington, Intentionet",NorAm
Aaron Schulman,2020,Program,UC San Diego,Aaron Schulman,UC San Diego,NorAm
Amar Phanishayee,2020,Program,Microsoft Research,Amar Phanishayee,Microsoft Research,
Anirudh Sivaraman,2020,Program,NYU,Anirudh Sivaraman,NYU,NorAm
Anja Feldmann,2020,Program,MPI,Anja Feldmann,MPI,EU
Ankit Singla,2020,Program,ETH ZÃ¼rich,Ankit Singla,ETH ZÃ¼rich,
Arpit Gupta,2020,Program,UCSB,Arpit Gupta,UCSB,NorAm
Aruna Balasubramanian,2020,Program,Stony Brook University,Aruna Balasubramanian,Stony Brook University,NorAm
Aurojit Panda,2020,Program,NYU,Aurojit Panda,NYU,NorAm
Barath Raghavan,2020,Program,USC,Barath Raghavan,USC,NorAm
Brian Levine,2020,Program,"University of Massachusetts
              Amherst",Brian Levine,"University of Massachusetts
              Amherst",NorAm
Costin Raiciu,2020,Program,"University Pollitehnica of
              Bucharest",Costin Raiciu,"University Pollitehnica of
              Bucharest",EU
Dave Levin,2020,Program,University of Maryland,Dave Levin,University of Maryland,NorAm
David Wetherall,2020,Program,Google,David Wetherall,Google,
Deepak Ganesan,2020,Program,UMass Amherst,Deepak Ganesan,UMass Amherst,NorAm
Deepak Vasisht,2020,Program,MIT,Deepak Vasisht,MIT,NorAm
Dongsu Han,2020,Program,KAIST,Dongsu Han,KAIST,AS
Ellen Zegura,2020,Program,"Georgia Institute of
              Technology",Ellen Zegura,"Georgia Institute of
              Technology",NorAm
Ethan Katz-Bassett,2020,Program,Columbia University,Ethan Katz-Bassett,Columbia University,NorAm
Ganesh Ananthanarayanan,2020,Program,Microsoft Research,Ganesh Ananthanarayanan,Microsoft Research,
Hongqiang Harry Liu,2020,Program,Alibaba Group,Hongqiang Harry Liu,Alibaba Group,
Jeongkeun Lee,2020,Program,Barefoot Networks,Jeongkeun Lee,Barefoot Networks,
Kate Lin,2020,Program,"National Chiao Tung
              University",Kate Lin,"National Chiao Tung
              University",
Katerina Argyraki,2020,Program,EPFL,Katerina Argyraki,EPFL,EU
Kun Tan,2020,Program,Huawei,Kun Tan,Huawei,
Lili Qiu,2020,Program,UT Austin,Lili Qiu,UT Austin,NorAm
Manya Ghobadi,2020,Program,MIT,Manya Ghobadi,MIT,NorAm
Matthew Roughan,2020,Program,University of Adelaide,Matthew Roughan,University of Adelaide,OC
Minlan Yu,2020,Program,Harvard University,Minlan Yu,Harvard University,NorAm
Mohammad Alizadeh,2020,Program,MIT,Mohammad Alizadeh,MIT,NorAm
Nate Foster,2020,Program,Cornell University,Nate Foster,Cornell University,NorAm
Olivier Bonaventure,2020,Program,"UniversitÃ© catholique de
              Louvain",Olivier Bonaventure,"UniversitÃ© catholique de
              Louvain",EU
Rachit Agarwal,2020,Program,Cornell University,Rachit Agarwal,Cornell University,NorAm
Radhika Mittal,2020,Program,UIUC,Radhika Mittal,UIUC,NorAm
Radhika Niranjan Mysore,2020,Program,VMware Research,Radhika Niranjan Mysore,VMware Research,
Renata Teixeira,2020,Program,Inria,Renata Teixeira,Inria,EU
Rob Sherwood,2020,Program,Facebook,Rob Sherwood,Facebook,
Romit Roy Choudhury,2020,Program,"University of Illinois at Urbana
              Champaign",Romit Roy Choudhury,"University of Illinois at Urbana
              Champaign",NorAm
Ryan Beckett,2020,Program,Microsoft Research,Ryan Beckett,Microsoft Research,
Sanjay Rao,2020,Program,Purdue University,Sanjay Rao,Purdue University,NorAm
T.S. Eugene Ng,2020,Program,Rice University,T.S. Eugene Ng,Rice University,NorAm
Vyas Sekar,2020,Program,CMU,Vyas Sekar,CMU,NorAm
Xiaowei Yang,2020,Program,Duke University,Xiaowei Yang,Duke University,NorAm
Yibo Zhu,2020,Program,ByteDance Inc.,Yibo Zhu,ByteDance Inc.,
Sangeetha Abdu Jyothi,2020,Program,"UC Irvine, VMware
            Research",Sangeetha Abdu Jyothi,"UC Irvine, VMware
            Research",NorAm
Mina Tahmasbi Arashloo,2020,Program,Cornell University,Mina Tahmasbi Arashloo,Cornell University,NorAm
Paolo Costa,2020,Program,Microsoft Research,Paolo Costa,Microsoft Research,
Timothy G. Griffin,2020,Program,University of Cambridge,Timothy G. Griffin,University of Cambridge,EU
Junchen Jiang,2020,Program,University of Chicago,Junchen Jiang,University of Chicago,NorAm
Xin Jin,2020,Program,Johns Hopkins University,Xin Jin,Johns Hopkins University,NorAm
Vincent Liu,2020,Program,"University of
            Pennsylvania",Vincent Liu,"University of
            Pennsylvania",NorAm
Neil Spring,2020,Program,"University of Maryland /
            Facebook",Neil Spring,"University of Maryland /
            Facebook",NorAm
Ben Y. Zhao,2020,Program,University of Chicago,Ben Y. Zhao,University of Chicago,NorAm
Danyang Zhuo,2020,Program,"Duke University, UC
            Berkeley",Danyang Zhuo,"Duke University, UC
            Berkeley",NorAm
Noa Zilberman,2020,Program,University of Oxford,Noa Zilberman,University of Oxford,EU
Aditya Akella,2021,Program,University of WisconsinâMadison,Aditya Akella,University of WisconsinâMadison,
Nandita Dukkipati,2021,Program,Google,Nandita Dukkipati,Google,
Aaron Schulman,2021,Program,UC San Diego,Aaron Schulman,UC San Diego,NorAm
Adrian Perrig,2021,Program,ETH Zurich,Adrian Perrig,ETH Zurich,EU
Alex C. Snoeren,2021,Program,UC San Diego,Alex C. Snoeren,UC San Diego,NorAm
Aman Shaikh,2021,Program,Google,Aman Shaikh,Google,
Anja Feldmann,2021,Program,Max Planck Institute,Anja Feldmann,Max Planck Institute,
Arpit Gupta,2021,Program,UC Santa Barbara,Arpit Gupta,UC Santa Barbara,NorAm
Barath Raghavan,2021,Program,University of Southern California,Barath Raghavan,University of Southern California,
Behnaz Arzani,2021,Program,Microsoft,Behnaz Arzani,Microsoft,
Brent Stephens,2021,Program,University of Illinois at Chicago,Brent Stephens,University of Illinois at Chicago,NorAm
Dave Levin,2021,Program,University of Maryland,Dave Levin,University of Maryland,NorAm
Ellen Zegura,2021,Program,Georgia Institute of Technology,Ellen Zegura,Georgia Institute of Technology,NorAm
Eugene Ng,2021,Program,Rice University,Eugene Ng,Rice University,NorAm
Fadel Adib,2021,Program,Massachusetts Institute of Technology,Fadel Adib,Massachusetts Institute of Technology,NorAm
George Varghese,2021,Program,UC Los Angeles,George Varghese,UC Los Angeles,NorAm
Hakim Weatherspoon,2021,Program,Cornell University,Hakim Weatherspoon,Cornell University,NorAm
Hitesh Ballani,2021,Program,Microsoft,Hitesh Ballani,Microsoft,
Hongqiang Liu,2021,Program,Alibaba,Hongqiang Liu,Alibaba,
Jen Rexford,2021,Program,Princeton University,Jen Rexford,Princeton University,NorAm
Jitu Padhye,2021,Program,Microsoft,Jitu Padhye,Microsoft,
Kai Chen,2021,Program,Hong Kong University of Science and Technology,Kai Chen,Hong Kong University of Science and Technology,
Kate Lin,2021,Program,National Chiao Tung University,Kate Lin,National Chiao Tung University,
Keith Winstein,2021,Program,Stanford University,Keith Winstein,Stanford University,NorAm
Keon Jang,2021,Program,Max Planck Institute,Keon Jang,Max Planck Institute,
Kun Tan,2021,Program,Huawei,Kun Tan,Huawei,
KyoungSoo Park,2021,Program,Korea Advanced Institute of Science and Technology,KyoungSoo Park,Korea Advanced Institute of Science and Technology,AS
Laurent Vanbever,2021,Program,ETH Zurich,Laurent Vanbever,ETH Zurich,EU
Lili Qiu,2021,Program,UT Austin,Lili Qiu,UT Austin,NorAm
Lixin Gao,2021,Program,University of Massachusetts Amherst,Lixin Gao,University of Massachusetts Amherst,NorAm
Matt Caesar,2021,Program,University of Illinois UrbanaâChampaign,Matt Caesar,University of Illinois UrbanaâChampaign,NorAm
Michael Schapira,2021,Program,Hebrew University of Jerusalem,Michael Schapira,Hebrew University of Jerusalem,AS
Mohammad Alizadeh,2021,Program,Massachusetts Institute of Technology,Mohammad Alizadeh,Massachusetts Institute of Technology,NorAm
Morley Mao,2021,Program,University of Michigan,Morley Mao,University of Michigan,NorAm
Mosharaf Chowdhury,2021,Program,University of Michigan,Mosharaf Chowdhury,University of Michigan,NorAm
Muhammad Shahbaz,2021,Program,Purdue University,Muhammad Shahbaz,Purdue University,NorAm
Mythili Vutukuru,2021,Program,IIT Bombay,Mythili Vutukuru,IIT Bombay,
Nate Foster,2021,Program,Cornell University,Nate Foster,Cornell University,NorAm
Nathan Bronson,2021,Program,Rockset,Nathan Bronson,Rockset,
Neil Spring,2021,Program,Facebook,Neil Spring,Facebook,
Noa Zilberman,2021,Program,University of Oxford,Noa Zilberman,University of Oxford,EU
Olivier Bonaventure,2021,Program,UCLouvain,Olivier Bonaventure,UCLouvain,EU
Radhika Niranjan Mysore,2021,Program,VMWare,Radhika Niranjan Mysore,VMWare,
Rajalakshmi Nandakumar,2021,Program,Cornell University,Rajalakshmi Nandakumar,Cornell University,NorAm
Ratul Mahajan,2021,Program,University of Washington and Intentionet,Ratul Mahajan,University of Washington and Intentionet,NorAm
Ravi Netravali,2021,Program,UC Los Angeles / Princeton University,Ravi Netravali,UC Los Angeles / Princeton University,NorAm
Romit Roy Choudhury,2021,Program,University of Illinois UrbanaâChampaign,Romit Roy Choudhury,University of Illinois UrbanaâChampaign,NorAm
